Date,PE
2015-03-30,25.52
2015-03-27,25.12
2015-03-23,23.91
2015-03-16,23.42
2015-03-13,24.59
2015-03-12,25.35
2015-03-04,25.8
2015-03-03,25.85
2015-02-27,26.38
2015-02-24,26.49
2015-02-23,26.13
2015-02-18,25.58
2015-02-09,24.99
2015-02-04,25.17
2015-02-03,25.7
2015-01-28,25.94
2015-01-27,25.46
2015-01-26,25.69
2015-01-23,25.42
2015-01-21,24.74
2015-01-05,26.44
